,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
75,39,40,5.0,4.3,1630208,1911289,3025810,1671640240,2
76,40,41,5.0,4.3,1826816,2081696,3353755,1671640241,2
77,90,91,5.0,4.3,4100096,4609481,7493948,1671640291,2
78,92,93,5.1,4.3,4501504,4949206,8157393,1671640293,2
79,117,118,5.1,4.3,5545984,6183016,10111183,1671640318,2
80,144,145,5.1,4.3,7065600,7742322,12794699,1671640346,2
81,145,146,5.1,4.3,7262208,7910365,13126065,1671640347,2
82,217,218,5.2,4.3,10088448,11232474,18384483,1671640419,2
83,246,247,5.2,4.3,12005376,13175241,21764041,1671640448,2
84,91,92,5.1,4.1,4304896,4771116,7819972,1671640292,2
85,116,117,5.1,4.1,5341184,6013907,9785577,1671640317,2
86,167,168,5.1,4.1,7802880,8689625,14231742,1671640369,2
87,247,248,5.2,4.1,12210176,13348945,22094973,1671640449,2
88,142,143,5.1,4.0,6672384,7401622,12135523,1671640344,2
89,170,171,5.1,4.0,8409088,9191236,15207685,1671640372,2
90,191,192,5.1,4.0,8753152,9767632,15961433,1671640393,2
91,14,15,4.9,3.8,495616,648178,958492,1671640215,2
92,93,94,5.1,3.8,4706304,5122554,8483401,1671640294,2
93,196,197,5.2,3.8,9744384,10625609,17602853,1671640398,2
94,218,219,5.2,3.8,10280960,11399718,18709739,1671640420,2
95,244,245,5.2,3.8,11616256,12831936,21105187,1671640446,2
96,143,144,5.1,3.6,6868992,7574315,12469254,1671640345,2
97,115,116,5.1,3.5,5144576,5844983,9458793,1671640316,2
98,194,195,5.2,3.5,9347072,10280660,16945113,1671640396,2
99,219,220,5.2,3.5,10481664,11571192,19039959,1671640421,2
100,221,222,5.2,3.5,10870784,11908944,19690238,1671640423,2
101,17,18,4.9,3.3,1101824,1162870,1942413,1671640218,2
102,94,95,5.1,3.3,4898816,5280974,8800461,1671640295,2
103,140,141,5.1,3.3,6283264,7067279,11488428,1671640342,2
